Table 1
Place,% Insufficient Sleep,Error Margin,state,
Perkins,25%,24-26%,South Dakota,
Potter,24%,23-25%,South Dakota,
Roberts,26%,26-27%,South Dakota,
Sanborn,25%,24-26%,South Dakota,
Spink,25%,24-26%,South Dakota,
Stanley,24%,23-25%,South Dakota,
Sully,25%,24-26%,South Dakota,
Todd,36%,35-37%,South Dakota,
Tripp,26%,25-27%,South Dakota,
Turner,24%,23-25%,South Dakota,
Union,26%,25-27%,South Dakota,
Walworth,25%,24-26%,South Dakota,
Yankton,26%,25-27%,South Dakota,
Ziebach,32%,31-33%,South Dakota,
,,,,
Abbeville,36%,35-37%,South Carolina,
Aiken,36%,36-37%,South Carolina,
Allendale,42%,40-43%,South Carolina,
Anderson,35%,34-35%,South Carolina,
Bamberg,41%,40-42%,South Carolina,
Barnwell,39%,38-40%,South Carolina,
Beaufort,30%,29-30%,South Carolina,
Berkeley,39%,38-40%,South Carolina,
Calhoun,36%,35-37%,South Carolina,
Charleston,33%,32-33%,South Carolina,
Cherokee,38%,37-39%,South Carolina,
Chester,37%,36-37%,South Carolina,
Chesterfield,38%,37-39%,South Carolina,
Clarendon,37%,36-37%,South Carolina,
Colleton,41%,40-41%,South Carolina,
Darlington,40%,39-41%,South Carolina,
Dillon,42%,41-43%,South Carolina,
Dorchester,37%,36-37%,South Carolina,
Edgefield,38%,37-39%,South Carolina,
Fairfield,37%,36-38%,South Carolina,
Florence,39%,38-40%,South Carolina,
Georgetown,36%,35-36%,South Carolina,
Greenville,34%,33-34%,South Carolina,
Greenwood,37%,36-38%,South Carolina,
Hampton,37%,36-38%,South Carolina,
Horry,37%,36-37%,South Carolina,
Jasper,41%,40-42%,South Carolina,
Kershaw,38%,37-39%,South Carolina,
Lancaster,36%,35-37%,South Carolina,
Laurens,38%,37-39%,South Carolina,
Lee,42%,41-43%,South Carolina,
Lexington,36%,35-37%,South Carolina,
Marion,39%,38-40%,South Carolina,
Marlboro,38%,37-39%,South Carolina,
McCormick,35%,34-36%,South Carolina,
Newberry,33%,32-33%,South Carolina,
Oconee,34%,33-35%,South Carolina,
Orangeburg,37%,37-38%,South Carolina,
Pickens,35%,33-36%,South Carolina,
Richland,36%,36-37%,South Carolina,
Saluda,35%,34-36%,South Carolina,
Spartanburg,38%,38-39%,South Carolina,
Sumter,38%,37-38%,South Carolina,
Union,37%,36-38%,South Carolina,
Williamsburg,40%,40-41%,South Carolina,
York,37%,36-38%,South Carolina,
,,,,
Bristol,31%,30-32%,Rhode Island,
Kent,35%,34-36%,Rhode Island,
Newport,31%,30-32%,Rhode Island,
Providence,38%,37-39%,Rhode Island,
Washington,33%,32-34%,Rhode Island,
,,,,
Adams,35%,33-36%,Pennsylvania,
Allegheny,36%,36-37%,Pennsylvania,
Armstrong,36%,35-37%,Pennsylvania,
Beaver,37%,36-38%,Pennsylvania,
Bedford,37%,35-38%,Pennsylvania,
Berks,39%,38-40%,Pennsylvania,
Blair,34%,33-35%,Pennsylvania,
Bradford,32%,31-33%,Pennsylvania,
Bucks,35%,34-36%,Pennsylvania,
Butler,32%,31-33%,Pennsylvania,
Cambria,36%,35-37%,Pennsylvania,
Cameron,33%,32-35%,Pennsylvania,
Carbon,35%,34-36%,Pennsylvania,
Centre,31%,30-33%,Pennsylvania,
Chester,31%,30-32%,Pennsylvania,
Clarion,33%,32-35%,Pennsylvania,
Clearfield,34%,33-36%,Pennsylvania,
Clinton,34%,33-36%,Pennsylvania,
Columbia,33%,32-34%,Pennsylvania,
Crawford,33%,32-34%,Pennsylvania,
Cumberland,34%,33-35%,Pennsylvania,
Dauphin,33%,32-34%,Pennsylvania,
Delaware,38%,38-39%,Pennsylvania,
Elk,35%,33-36%,Pennsylvania,
Erie,38%,37-39%,Pennsylvania,
Fayette,40%,39-41%,Pennsylvania,
Forest,36%,35-37%,Pennsylvania,
Franklin,34%,33-35%,Pennsylvania,
Fulton,33%,32-34%,Pennsylvania,
Greene,36%,35-37%,Pennsylvania,
Huntingdon,37%,35-38%,Pennsylvania,
Indiana,35%,33-36%,Pennsylvania,
Jefferson,35%,34-36%,Pennsylvania,
Juniata,34%,33-35%,Pennsylvania,
Lackawanna,33%,32-34%,Pennsylvania,
Lancaster,31%,30-32%,Pennsylvania,
Lawrence,35%,34-37%,Pennsylvania,
Lebanon,34%,33-35%,Pennsylvania,
Lehigh,34%,34-35%,Pennsylvania,
Luzerne,36%,35-37%,Pennsylvania,
Lycoming,37%,36-38%,Pennsylvania,
McKean,35%,34-37%,Pennsylvania,
Mercer,38%,37-39%,Pennsylvania,
Mifflin,34%,33-36%,Pennsylvania,
Monroe,38%,37-39%,Pennsylvania,
Montgomery,33%,33-34%,Pennsylvania,
Montour,34%,33-35%,Pennsylvania,
Northampton,36%,35-37%,Pennsylvania,
Northumberland,37%,36-38%,Pennsylvania,
Perry,33%,32-35%,Pennsylvania,
Philadelphia,41%,40-42%,Pennsylvania,
Pike,32%,31-33%,Pennsylvania,
Potter,33%,32-34%,Pennsylvania,
Schuylkill,33%,32-34%,Pennsylvania,
Snyder,36%,35-37%,Pennsylvania,
Somerset,36%,35-37%,Pennsylvania,
Sullivan,34%,33-35%,Pennsylvania,
Susquehanna,36%,35-37%,Pennsylvania,
Tioga,32%,31-34%,Pennsylvania,
Union,31%,31-33%,Pennsylvania,
Venango,35%,33-36%,Pennsylvania,
Warren,34%,32-35%,Pennsylvania,
Washington,34%,33-35%,Pennsylvania,
Wayne,35%,34-36%,Pennsylvania,
Westmoreland,35%,34-37%,Pennsylvania,
Wyoming,35%,34-36%,Pennsylvania,
York,37%,36-38%,Pennsylvania,
,,,,
Baker,29%,28-30%,Oregon,
Benton,29%,28-30%,Oregon,
Clackamas,29%,28-29%,Oregon,
Clatsop,31%,30-32%,Oregon,
Columbia,33%,32-34%,Oregon,
Coos,30%,29-31%,Oregon,
Crook,30%,29-32%,Oregon,
Curry,30%,28-31%,Oregon,
Deschutes,29%,28-29%,Oregon,
Douglas,32%,31-33%,Oregon,
Gilliam,29%,28-30%,Oregon,
Grant,30%,28-31%,Oregon,
Harney,29%,28-31%,Oregon,
Hood River,30%,29-31%,Oregon,
Jackson,32%,31-33%,Oregon,
Jefferson,32%,31-33%,Oregon,
Josephine,31%,30-31%,Oregon,
Klamath,32%,31-33%,Oregon,
Lake,30%,29-31%,Oregon,
Lane,29%,28-29%,Oregon,
Lincoln,29%,28-30%,Oregon,
Linn,33%,32-34%,Oregon,
Malheur,32%,32-33%,Oregon,
Marion,31%,31-32%,Oregon,
Morrow,31%,30-32%,Oregon,
Multnomah,30%,29-31%,Oregon,
Polk,32%,31-32%,Oregon,
Sherman,29%,28-30%,Oregon,
Tillamook,28%,27-30%,Oregon,
Umatilla,29%,29-30%,Oregon,
Union,29%,28-30%,Oregon,
Wallowa,28%,27-29%,Oregon,
Wasco,29%,28-30%,Oregon,
Washington,30%,30-31%,Oregon,
Wheeler,29%,28-30%,Oregon,
Yamhill,32%,31-33%,Oregon,
